Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
SOKO UGALI  10KG BAG,1044,code128,,102,kg,kg,kg,220,264,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
MAMA MAIZE MEAL 2KG,1049,code128,,102,kg,kg,kg,92,110,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
MAMA MAIZE MEAL 1KG,1050,code128,,102,kg,kg,kg,46,55,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
NYUMBANI UNGA  2KG,1058,code128,,102,kg,kg,kg,92,110,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
NYUMBANI UNGA  2KG,1059,code128,,102,kg,kg,kg,46,55,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
NYUMBANI UNGA  90KG BAG,1060,code128,,102,kg,kg,kg,41,44,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
JOGOO  2KG,1064,code128,,102,kg,kg,kg,85,88,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
JOGOO  2KG,1065,code128,,102,kg,kg,kg,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
MAYCORN  2KG,1070,code128,,102,kg,kg,kg,117,140,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
MAYCORN  1KG,1071,code128,,102,kg,kg,kg,58,70,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
SNOWLINE INFANT 400G,1072,code128,,102,kg,kg,kg,42,59,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
SNOWLINE WIMBI MIX  400G,1075,code128,,102,kg,kg,kg,42,59,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
FAMILA  1KG,1081,code128,,102,kg,kg,kg,108,129,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
ATTA MARK 1KG,1086,code128,,102,kg,kg,kg,60,72,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
ATTA MARK 2KG,1087,code128,,102,kg,kg,kg,120,144,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
DOLA NGANO  2KG,1090,code128,,102,kg,kg,kg,115,138,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
DOLA NGANO  1kg,1091,code128,,102,kg,kg,kg,115,118,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
UNGA MAMA BAG,1096,code128,,102,kg,kg,kg,34,44,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
BASMATI  BAG,1101,code128,,103,kg,kg,kg,67,87,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
SINDANO,1106,code128,,103,kg,kg,kg,71,93,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
MWEA PISHORI 25KG BAG,1107,code128,,103,kg,kg,kg,110,143,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
SUGAR  BAG,1201,code128,,101,kg,kg,kg,99,129,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
KABRAS SUGAR 1KG,1204,code128,,101,kg,kg,kg,100,130,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
DAWATI SPAGETI 400G,1303,code128,,104,g,g,g,37,47,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
ELVIA SPAGHETTI 400G,1306,code128,,104,g,g,g,39,50,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
NOODLES  120G,1309,code128,,104,g,g,g,28,36,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
SANTA LUCIA 500G,1315,code128,,104,g,g,g,107,139,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
SANTA LUCIA 400G,1316,code128,,104,g,g,g,85,111,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
BITES,1403,code128,,114,g,g,g,8,10,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
BRITANIA,1404,code128,,114,g,g,g,3,5,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
CAD CHOCOLATE 37G,1406,code128,,114,g,g,g,51,83,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
CAD CHOCOLATE 80G,1410,code128,,114,g,g,g,148,243,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
CAD CHOCOLATE 11G,1413,code128,,114,g,g,g,15,25,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
EGGS,1414,code128,,134,pc,pc,pc,9,15,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
GINGER NUT BISCUIT,1417,code128,,133,g,g,g,230,250,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
GLUCOSE BISCUITS,1418,code128,,133,g,g,g,235,250,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
JAMBO BISCUITS,1421,code128,,133,g,g,g,3,5,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
KINGSMIL BREAD 400G,1422,code128,,133,g,g,g,46,50,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
MILKY BISCUITS,1423,code128,,133,g,g,g,3,5,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
NUVITA 75G,1425,code128,,133,g,g,g,567,600,10,VAT @16%,Inclusive,no_image.png,,,,,,,,
