Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,
ARIEL 1KG,2770,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
OMO 22G,2773,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
OMO  45G,2775,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
OMO  100G,2779,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
OMO  200G,2781,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
OMO 500G,2784,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
OMO 1KG,2786,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
USHINDI 175G,2789,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
USHINDI SACHET 25G,2791,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
USHINDI POWDER 200G,2793,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
TOPEX BLEACH  70ML,2796,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
TOPEX  250ML,2798,code128,,,,,,800,900,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BLUE BAND 30G,2801,code128,,119,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BLUE BAND 100G,2805,code128,,119,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BLUE BAND 300G,2808,code128,,119,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BLUE BAND 500G,2810,code128,,119,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BLUE BAND CREAM 500G PC,2811,code128,,119,,,,105,140,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BLUE BAND  1KG*,2813,code128,,119,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ZESTA JAM 500G,2815,code128,,119,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ZESTZ JAM 300G,2817,code128,,119,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ZESTA JAM  100G,2819,code128,,119,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
ZESTA JAM 200G,2821,code128,,119,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
CHAPA MANDAZI,2902,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
BAKING POWDER,2905,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
MOSQUITO COIL,2907,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
STRAW,2909,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
GOLDEN LION,2911,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
STOVE WICK SMALL,2913,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
EXERCISE BOOKS 32 pages,2915,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
GILLETTE,2918,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
NACET,2921,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
TREET 11 R/Y,2923,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SKINMATE CARD,2925,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
STOVE WICK BIG,2927,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
EVEREADY AA RED,2928,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
EVEREADY AAA RED,2930,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
EMPTY JERICAN 20 LTRS,2932,code128,,,,,,1900,5,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
HANDKERCHIEF,2934,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUPER GLUE 10G,2937,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUPER GLUE 2G,2940,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SUMO CANDLE,2942,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
HOMELIGHT CANDLES,2944,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
UFUTA 3LTR,3001,code128,,121,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
UFUTA 2LTR,3003,code128,,121,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
UFUTA 1LTR,3004,code128,,121,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
TILLY WHITE 10KG FAT CAN,3006,code128,,121,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SEAGUL,3010,code128,,121,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
SALIT 20LTRS JERICAN,3012,code128,,,,,,2270,2350,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
RINA OIL 10 LTR JERICAN,3015,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
RINA OIL 5LTR JAR,3018,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
RINA OIL 3LTR JAR,3020,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
RINA OIL 2LTR JAR,3022,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
RINA OIL 1LTR JAR,3025,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
RINA OIL 500ML JAR,3028,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
RINA OIL 300ML  JAR,3031,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
PIKA 20LTR  GM,3033,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KASUKU 500G,3035,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KASUKU 250G,3037,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KASUKU  100G,3040,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
KASUKU 50G,3043,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
HALISI OIL 20 LTR JERICAN,3046,code128,,,,,,2330,2400,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
HALISI OIL 10 LTR JERICAN,3047,code128,,,,,,1165,1300,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FRY MATE 5KG,3048,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FRY MATE 10KG,3051,code128,,,,,,900,970,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FRESH FRI 5LTR,3052,code128,,,,,,2530,2770,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FRESH FRI 5LTR JAR,3053,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FRESH FRI 3LTR,3054,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FRESH FRI 3LTR JAR,3055,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FRESH FRI 2LTR,3056,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
FRESH FRI 2LTR JAR,3057,code128,,,,,,0,0,10,VAT @16%,Inclusive,no_image.png,,,,,,,,,
