Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
TOMATO PASTE 400G,,,,,,,,,,,,,,,,,,,,,
ROYCO BEEF  200G JARS,,,,,,,,,,,,,,,,,,,,,
ROYCO BEEF  70G  SACHETS,,,,,,,,,,,,,,,,,,,,,
TOMATO PASTE  50G SACHETS,,,,,,,,,,,,,,,,,,,,,
TOMATO PASTE  70G  SACHET,,,,,,,,,,,,,,,,,,,,,
KEVIAN TOMATO SAUCE 400G,,,,,,,,,,,,,,,,,,,,,
KENYLON T. PASTE  450G,,,,,,,,,,,,,,,,,,,,,
KENYLON T. PASTE  100G  SACHETS,,,,,,,,,,,,,,,,,,,,,
JAMAA BIG  800G,,,,,,,,,,,,,,,,,,,,,
JAMAA SMALL   800G,,,,,,,,,,,,,,,,,,,,,
MENENGAI 800G BAR,,,,,,,,,,,,,,,,,,,,,
MENENGAI 1KG BAR,,,,,,,,,,,,,,,,,,,,,
WHITE WASH BAR SMALL  800G BAR,,,,,,,,,,,,,,,,,,,,,
WHITE WASH  200G TAB,,,,,,,,,,,,,,,,,,,,,
WHITE WASH BAR BIG 800G BAR,,,,,,,,,,,,,,,,,,,,,
WHITE STAR 800G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT BAR  700G BAR,,,,,,,,,,,,,,,,,,,,,
GEISHA   225G,,,,,,,,,,,,,,,,,,,,,
GEISHA  100G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT  20G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT 40G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT  100G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT  200G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT  500G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT  1KG,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT TABLET 50G,,,,,,,,,,,,,,,,,,,,,
